Section,Rutting (mm),Fatigue Cracking (m²),Block Cracking (m²),Longitudinal Cracking (m²),Transverse Cracking (m²),Patching (m²),Potholes (number),Delamination (m²),PCI (%)
1,3.0,2.0,0.0,18.0,0.0,7.0,16,2.0,43.6
2,6.0,0.0,0.0,23.0,2.5,18.0,0,4.0,51.0
3,5.8,2.5,0.0,16.0,8.0,7.0,35,2.0,41.0
4,8.8,4.0,0.0,47.5,10.0,36.0,0,0.0,25.0
5,4.5,1.0,0.0,25.0,0.0,18.0,5,1.0,45.0
6,7.0,3.4,0.0,22.0,5.4,15.4,32,3.4,50.0
7,5.2,1.8,1.0,28.0,8.3,17.8,45,4.2,55.0
8,6.9,3.0,0.5,21.0,6.2,14.5,30,3.0,39.0
9,8.3,2.2,0.3,33.0,7.4,16.7,28,4.8,46.0
10,7.1,1.6,0.2,27.0,5.9,13.9,36,2.9,48.0
11,6.4,2.3,0.4,24.0,7.1,17.2,29,4.1,52.0
12,5.9,3.5,0.6,29.0,4.2,15.8,32,3.7,50.0
13,7.5,2.1,0.8,26.0,5.8,16.9,34,4.5,49.0
14,4.6,1.2,0.1,18.0,3.6,14.4,27,3.8,43.0
15,5.7,2.5,0.5,31.0,7.2,19.7,33,2.7,45.0
16,8.0,2.8,0.3,23.0,4.8,18.3,29,4.3,41.0
17,6.8,2.4,0.7,28.0,6.7,16.6,37,3.9,44.0
18,7.9,3.1,0.6,30.0,7.9,19.8,30,4.6,42.0
19,5.4,2.6,0.9,24.0,5.6,17.4,35,2.8,47.0
20,7.2,2.7,0.4,22.0,4.9,18.2,28,3.4,50.0
21,6.6,3.2,0.0,27.0,3.8,15.7,25,4.7,53.0
22,4.9,1.9,0.2,25.0,7.4,16.9,34,2.5,39.0
23,6.3,2.5,0.3,29.0,6.9,17.8,29,3.6,40.0
24,7.0,2.4,0.1,26.0,5.2,18.3,26,4.8,48.0
25,6.7,3.0,0.0,21.0,7.5,16.7,32,3.0,47.0
26,7.3,2.2,0.0,28.0,4.4,15.5,31,4.2,52.0
27,5.1,2.8,0.4,23.0,6.3,18.4,28,3.7,48.0
28,6.2,2.0,0.2,31.0,5.7,17.2,33,2.8,51.0
29,7.4,3.4,0.0,22.0,3.9,16.3,30,4.5,49.0
30,5.3,1.7,0.1,27.0,6.1,19.5,36,3.3,50.0
31,7.7,2.9,0.3,29.0,7.3,14.6,34,4.1,45.0
32,5.6,2.3,0.4,24.0,5.4,15.4,29,2.9,46.0
33,6.1,2.6,0.2,28.0,7.6,18.7,28,4.6,47.0
34,7.2,3.0,0.1,25.0,6.2,16.5,32,3.5,49.0
35,5.9,2.2,0.0,30.0,7.8,17.9,35,4.2,50.0
36,7.4,3.1,0.0,29.0,4.7,19.1,30,3.4,44.0
37,6.5,2.7,0.0,27.0,6.9,18.0,28,4.0,48.0
